,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,rand1,rand2,rand4,rand5,rand6
47,5.1,3.8,1.6,0.2,setosa,5.64822643995285,701,59.6919464168029,4.81783474320886,2.03718440196257
48,4.6,3.2,1.4,0.2,setosa,1.96175350807607,843,73.6058471065751,3.52047810489029,1.58265887692256
49,5.3,3.7,1.5,0.2,setosa,4.46279938332736,410,70.2698643093762,3.37973126912411,1.27722273612802
50,5,3.3,1.4,0.2,setosa,8.38137893239036,585,54.1570453814458,5.03298593443102,2.08744029512443
51,7,3.2,4.7,1.4,versicolor,4.4445193419233,301,99.6941995782168,8.06071645156836,6.80020125073095
52,6.4,3.2,4.5,1.5,versicolor,2.63398774433881,919,89.8876987265661,2.78469403033215,6.41809175823734
53,6.9,3.1,4.9,1.5,versicolor,3.27841836726293,345,74.5689011316642,4.16645814764879,10.0926407122412
54,5.5,2.3,4,1.3,versicolor,6.0343747609295,705,67.2540099083375,2.98556231861211,10.9844124559889
55,6.5,2.8,4.6,1.5,versicolor,8.48329555708915,449,51.4125781436952,3.5303231021578,7.48038339868059
56,5.7,2.8,4.5,1.3,versicolor,7.64084790833294,171,42.5235631721025,3.71488872377189,9.6856602072679
57,6.3,3.3,4.7,1.6,versicolor,9.8238336481154,369,42.6167233788948,3.27566511606,12.7574056012231
58,4.9,2.4,3.3,1,versicolor,6.44313473720104,493,55.4192469478375,2.61774164007823,12.1777189578935
59,6.6,2.9,4.6,1.3,versicolor,4.73652775865048,427,56.3897224926304,4.0199261203343,11.633796281595
60,5.2,2.7,3.9,1.4,versicolor,9.69927284866571,54,83.4473602578235,3.36336119471608,6.67690053694142
61,5,2,3.5,1,versicolor,0.807738108560443,89,50.9739650040616,2.11425071347034,7.44176094029003
62,5.9,3,4.2,1.5,versicolor,7.17912419931963,313,60.0633737763207,5.27683841307598,8.81013116156456
63,6,2.2,4,1,versicolor,7.06388980848715,553,29.3775345625982,2.57876440499508,4.24873789126085
64,6.1,2.9,4.7,1.4,versicolor,1.34011202258989,817,114.79151694083,3.21970819115597,10.4236054607418
65,5.6,2.9,3.6,1.3,versicolor,2.0841434923932,726,57.3839537976959,5.31936941819132,10.9094629908647
66,6.7,3.1,4.4,1.4,versicolor,6.21280690189451,806,5.86588228686958,3.4887930849822,5.63435070305673
67,5.6,3,4.5,1.5,versicolor,0.684883100911975,294,45.7778351505947,4.03724766871624,7.89885181583757
68,5.8,2.7,4.1,1,versicolor,6.41683780355379,864,89.3542774916805,2.78420850366353,10.9549652803221
69,6.2,2.2,4.5,1.5,versicolor,7.37558888737112,295,81.8949110938012,2.86307661474297,6.66292418955909
70,5.6,2.5,3.9,1.1,versicolor,9.36689672060311,761,72.8850197227221,2.65135769371265,16.2569988533322
71,5.9,3.2,4.8,1.8,versicolor,3.44895810354501,564,113.558988858651,3.55045665076557,7.80403425038284
72,6.1,2.8,4,1.3,versicolor,4.84078467125073,653,78.7100399794256,10.60239897815,8.25148825868131
73,6.3,2.5,4.9,1.5,versicolor,1.60095227183774,620,43.0918044079724,2.03788133835798,9.41628043400397
74,6.1,2.8,4.7,1.2,versicolor,6.46746149752289,497,58.113462085166,3.04842151920179,6.89585818515923
75,6.4,2.9,4.3,1.3,versicolor,4.96504930546507,980,59.513229757848,2.99787181054096,4.95749693974083
76,6.6,3,4.4,1.4,versicolor,8.49609009455889,794,56.187821603265,4.32199941025125,6.18470611029096
77,6.8,2.8,4.8,1.4,versicolor,4.42528412910178,213,89.5796129636267,7.98657691173733,9.96427065916648
78,6.7,3,5,1.7,versicolor,4.31062422692776,267,139.099341633092,2.88047272498682,12.5433994026854
79,6,2.9,4.5,1.5,versicolor,5.88984730420634,139,100.177917083061,2.77155676762108,14.1564356579366
80,5.7,2.6,3.5,1,versicolor,9.87790954997763,712,97.8349935174475,6.32737085908879,7.70953047246598
81,5.5,2.4,3.8,1.1,versicolor,9.69284657621756,698,83.3911588473468,3.69705336377983,14.7124235585799
82,5.5,2.4,3.7,1,versicolor,0.810877161566168,362,92.79904229125,7.85915618569484,6.88206228563981
83,5.8,2.7,3.9,1.2,versicolor,6.10467154532671,657,71.5526204002318,6.92611806242632,6.73999601822615
84,6,2.7,5.1,1.6,versicolor,1.11766271293163,628,85.2564853183894,3.40859038591697,10.1402890875208
85,5.4,3,4.5,1.5,versicolor,9.33514052769169,95,62.6018702518403,3.74182907147647,8.15345216866632
86,6,3.4,4.5,1.6,versicolor,2.72782372543588,1000,114.843699324717,5.23156815463877,11.0665909335972
87,6.7,3.1,4.7,1.5,versicolor,0.796477210242301,693,96.4976501311415,5.51845827670642,5.79779589742707
88,6.3,2.3,4.4,1.3,versicolor,7.86271484568715,604,94.4810102283,6.91626915620815,9.14687032009711
89,5.6,3,4.1,1.3,versicolor,2.14057101402432,709,41.6072057088531,5.59207726284813,6.95420410730376
90,5.5,2.5,4,1.3,versicolor,2.90132505586371,874,25.166333511793,3.67544801245947,7.93190634857249
91,5.5,2.6,4.4,1.2,versicolor,2.91470989817753,549,77.5420896700221,2.95147584868467,7.05262022691727
92,6.1,3,4.6,1.4,versicolor,3.3767680847086,903,53.7166150109279,5.29309515004684,7.6931449085297
93,5.8,2.6,4,1.2,versicolor,7.78207457158715,643,82.9844593515311,2.4539001375906,5.87258378900024
94,5,2.3,3.3,1,versicolor,2.43668956449255,193,65.3416172983911,7.08693792809084,6.46600554045929
95,5.6,2.7,4.2,1.3,versicolor,1.69455914525315,319,81.1625972312262,5.41841315101709,11.922780145337
96,5.7,3,4.2,1.2,versicolor,9.16698355227709,205,75.6780045231407,2.47061958426383,9.37266639631217
97,5.7,2.9,4.2,1.3,versicolor,9.11941763013601,477,97.5319747861913,2.92715541948762,8.60042821805966
98,6.2,2.9,4.3,1.3,versicolor,6.58777685137466,763,64.3228713962291,3.82248470834151,8.51634322113292
99,5.1,2.5,3,1.1,versicolor,8.54285110486671,380,66.1714406983127,2.28767389399442,19.4961940732857
100,5.7,2.8,4.1,1.3,versicolor,7.18606499955058,361,103.613823777663,3.15929900104716,5.60766652863384
101,6.3,3.3,6,2.5,virginica,4.06833425164223,737,77.2830225516886,5.77094190609061,14.4949948563544
102,5.8,2.7,5.1,1.9,virginica,5.09907003957778,611,12.6626958647235,11.5435916806325,11.6335296139288
103,7.1,3,5.9,2.1,virginica,2.10365312406793,4,76.6064330968931,3.43077548176922,12.2824705845861
104,6.3,2.9,5.6,1.8,virginica,2.69459321396425,945,106.214732829766,5.716982338078,8.01395925898082
105,6.5,3,5.8,2.2,virginica,8.70295535540208,540,82.3184181678907,7.25916825645222,32.3266945357285
106,7.6,3,6.6,2.1,virginica,9.00580567773432,513,55.5797015033083,3.3099406859149,16.8886896896795
107,4.9,2.5,4.5,1.7,virginica,6.36810478754342,467,45.9803030088697,2.06586299627499,10.3079961765988
108,7.3,2.9,6.3,1.8,virginica,0.621441220864654,631,78.3774196356331,2.58709007542941,12.4591373832129
109,6.7,2.5,5.8,1.8,virginica,5.77620267635211,392,83.3799674201872,4.73623448852844,9.04357243079143
110,7.2,3.6,6.1,2.5,virginica,4.27108373260126,322,72.9448068927034,6.08596125818671,20.8189784097316
111,6.5,3.2,5.1,2,virginica,0.813684100285172,571,22.7854827989394,7.05123659500462,10.7095768861441
112,6.4,2.7,5.3,1.9,virginica,7.13882192969322,728,63.4152641945636,2.25737780714943,10.1479498586795
113,6.8,3,5.5,2.1,virginica,3.57144225155935,772,91.9077802120694,9.65072488082199,21.703828883528
114,5.7,2.5,5,2,virginica,4.95894972234964,964,90.8309787484035,8.69052967669142,15.6332415219354
115,5.8,2.8,5.1,2.4,virginica,4.27587833954021,388,14.5772548821669,2.79800789765117,10.772667162391
116,6.4,3.2,5.3,2.3,virginica,3.55953372083604,875,74.8146893394294,3.94299593699297,12.934161111158
117,6.5,3,5.5,1.8,virginica,7.79521384043619,970,33.5921386792518,2.87289193309505,8.32919250712405
118,7.7,3.8,6.7,2.2,virginica,4.79872829746455,846,76.9381631864286,4.75450775418754,15.9824648370373
119,7.7,2.6,6.9,2.3,virginica,2.04959750175476,814,63.1536390968562,3.38419345660631,14.5323377242093
120,6,2.2,5,1.5,virginica,9.68076235847548,130,81.0672169450645,2.73913994735151,14.9469973255178
121,6.9,3.2,5.7,2.3,virginica,8.23479602346197,474,45.4364262094802,4.53482194144804,17.4915460193105
122,5.6,2.8,4.9,2,virginica,3.8115998916328,140,92.7687633320795,3.11995901123123,61.4503916528926
123,7.7,2.8,6.7,2,virginica,2.91260559344664,865,62.0705284679245,3.27556531661158,36.2636863599245
124,6.3,2.7,4.9,1.8,virginica,0.471396115608513,150,81.3169325907733,2.79334535696096,9.44557611225366
125,6.7,3.3,5.7,2.1,virginica,6.87591462628916,360,77.4365208626203,6.09872597274018,11.7354621056194
126,7.2,3.2,6,1.8,virginica,1.28408891148865,645,105.063475982554,9.4067565020364,10.5282129818588
127,6.2,2.8,4.8,1.8,virginica,8.44206069363281,210,45.0825375262242,2.58074763080435,13.1334199967765
128,6.1,3,4.9,1.8,virginica,2.53922029165551,358,69.0521844072538,10.0321218361255,8.53581061112578
129,6.4,2.8,5.6,2.1,virginica,0.841574913356453,347,94.3573222538646,4.54910887100561,30.0502825652529
130,7.2,3,5.8,1.6,virginica,1.8796828459017,873,42.7519446749177,6.11259717061153,6.7638827463242
131,7.4,2.8,6.1,1.9,virginica,2.4084591679275,106,56.638335855764,3.61645988039312,24.590390110274
132,7.9,3.8,6.4,2,virginica,9.99483412131667,986,57.6650323939904,4.37069911394317,11.7767662426697
133,6.4,2.8,5.6,2.2,virginica,9.279658223968,349,69.5275039176167,3.0642251860263,14.9573213642325
134,6.3,2.8,5.1,1.5,virginica,6.48128390777856,985,20.7961522011079,6.96757179903075,10.972980322247
135,6.1,2.6,5.6,1.4,virginica,7.11882098112255,430,61.0181053276658,2.59515454711982,8.30952703990954
136,7.7,3,6.1,2.3,virginica,5.75600994750857,30,83.6218145325524,6.64251805788649,23.8301352138306
137,6.3,3.4,5.6,2.4,virginica,8.38463392341509,740,66.9017240680181,3.78097779657815,42.2707203107905
138,6.4,3.1,5.5,1.8,virginica,2.31592983240262,324,71.5834888992717,3.50005691662269,8.46531417059174
139,6,3,4.8,1.8,virginica,7.01952883740887,258,43.7395349024016,2.41706826346396,43.1241262735989
140,6.9,3.1,5.4,2.1,virginica,7.64443081337959,821,82.6207379973874,5.21746334757457,14.645623746453
141,6.7,3.1,5.6,2.4,virginica,5.36012027412653,598,83.4545037716664,3.70843200468694,29.6287195495731
142,6.9,3.1,5.1,2.3,virginica,2.57352757966146,465,60.5119739918695,5.5144689649863,13.3160241491118
143,5.8,2.7,5.1,1.9,virginica,0.119014068040997,387,42.1180808337849,2.61386118567226,10.7636733033034
144,6.8,3.2,5.9,2.3,virginica,9.538130951114,633,49.5059145604069,4.12149240403795,17.9426521215812
145,6.7,3.3,5.7,2.5,virginica,3.8412671093829,317,79.2595182228143,4.8323526257187,15.4570574012093
146,6.7,3,5.2,2.3,virginica,3.69783256202936,743,87.0520697989579,6.81927612752004,20.0929642351573
147,6.3,2.5,5,1.9,virginica,5.7015667296946,496,92.9548017586128,2.9503386551559,9.75533674151914
148,6.5,3,5.2,2,virginica,9.91350131109357,581,120.75920587552,4.93644880085855,10.3032919993324
149,6.2,3.4,5.4,2.3,virginica,9.62845440721139,168,86.2257446147079,4.72671443174104,13.2101881875313
150,5.9,3,5.1,1.8,virginica,2.48109029605985,866,100.968975314751,3.21780212374494,10.7957879027438
